"date_id","full_date","year","quarter","month","month_name","day","day_of_week","day_name"
20110817,"2011-08-17",2011,3,8,"August   ",17,3,"Wednesday"
20110821,"2011-08-21",2011,3,8,"August   ",21,0,"Sunday   "
20110609,"2011-06-09",2011,2,6,"June     ",9,4,"Thursday "
20110107,"2011-01-07",2011,1,1,"January  ",7,5,"Friday   "
20110202,"2011-02-02",2011,1,2,"February ",2,3,"Wednesday"
20110923,"2011-09-23",2011,3,9,"September",23,5,"Friday   "
20110627,"2011-06-27",2011,2,6,"June     ",27,1,"Monday   "
20111114,"2011-11-14",2011,4,11,"November ",14,1,"Monday   "
20110510,"2011-05-10",2011,2,5,"May      ",10,2,"Tuesday  "
20101217,"2010-12-17",2010,4,12,"December ",17,5,"Friday   "
20111020,"2011-10-20",2011,4,10,"October  ",20,4,"Thursday "
20110628,"2011-06-28",2011,2,6,"June     ",28,2,"Tuesday  "
20110221,"2011-02-21",2011,1,2,"February ",21,1,"Monday   "
20101213,"2010-12-13",2010,4,12,"December ",13,1,"Monday   "
20111028,"2011-10-28",2011,4,10,"October  ",28,5,"Friday   "
20111207,"2011-12-07",2011,4,12,"December ",7,3,"Wednesday"
20110110,"2011-01-10",2011,1,1,"January  ",10,1,"Monday   "
20110417,"2011-04-17",2011,2,4,"April    ",17,0,"Sunday   "
20110901,"2011-09-01",2011,3,9,"September",1,4,"Thursday "
20111009,"2011-10-09",2011,4,10,"October  ",9,0,"Sunday   "
20111109,"2011-11-09",2011,4,11,"November ",9,3,"Wednesday"
20111128,"2011-11-28",2011,4,11,"November ",28,1,"Monday   "
20110213,"2011-02-13",2011,1,2,"February ",13,0,"Sunday   "
20111026,"2011-10-26",2011,4,10,"October  ",26,3,"Wednesday"
20110722,"2011-07-22",2011,3,7,"July     ",22,5,"Friday   "
20110227,"2011-02-27",2011,1,2,"February ",27,0,"Sunday   "
20110413,"2011-04-13",2011,2,4,"April    ",13,3,"Wednesday"
20111010,"2011-10-10",2011,4,10,"October  ",10,1,"Monday   "
20111013,"2011-10-13",2011,4,10,"October  ",13,4,"Thursday "
20101206,"2010-12-06",2010,4,12,"December ",6,1,"Monday   "
20110911,"2011-09-11",2011,3,9,"September",11,0,"Sunday   "
20110624,"2011-06-24",2011,2,6,"June     ",24,5,"Friday   "
20101223,"2010-12-23",2010,4,12,"December ",23,4,"Thursday "
20110831,"2011-08-31",2011,3,8,"August   ",31,3,"Wednesday"
20110320,"2011-03-20",2011,1,3,"March    ",20,0,"Sunday   "
20110623,"2011-06-23",2011,2,6,"June     ",23,4,"Thursday "
20110526,"2011-05-26",2011,2,5,"May      ",26,4,"Thursday "
20110204,"2011-02-04",2011,1,2,"February ",4,5,"Friday   "
20111115,"2011-11-15",2011,4,11,"November ",15,2,"Tuesday  "
20110619,"2011-06-19",2011,2,6,"June     ",19,0,"Sunday   "
20110915,"2011-09-15",2011,3,9,"September",15,4,"Thursday "
20111208,"2011-12-08",2011,4,12,"December ",8,4,"Thursday "
20110330,"2011-03-30",2011,1,3,"March    ",30,3,"Wednesday"
20110804,"2011-08-04",2011,3,8,"August   ",4,4,"Thursday "
20110318,"2011-03-18",2011,1,3,"March    ",18,5,"Friday   "
20110710,"2011-07-10",2011,3,7,"July     ",10,0,"Sunday   "
20110217,"2011-02-17",2011,1,2,"February ",17,4,"Thursday "
20111118,"2011-11-18",2011,4,11,"November ",18,5,"Friday   "
20110113,"2011-01-13",2011,1,1,"January  ",13,4,"Thursday "
20111204,"2011-12-04",2011,4,12,"December ",4,0,"Sunday   "
20110308,"2011-03-08",2011,1,3,"March    ",8,2,"Tuesday  "
20110218,"2011-02-18",2011,1,2,"February ",18,5,"Friday   "
20110119,"2011-01-19",2011,1,1,"January  ",19,3,"Wednesday"
20110913,"2011-09-13",2011,3,9,"September",13,2,"Tuesday  "
20110822,"2011-08-22",2011,3,8,"August   ",22,1,"Monday   "
20110513,"2011-05-13",2011,2,5,"May      ",13,5,"Friday   "
20111006,"2011-10-06",2011,4,10,"October  ",6,4,"Thursday "
20110519,"2011-05-19",2011,2,5,"May      ",19,4,"Thursday "
20110918,"2011-09-18",2011,3,9,"September",18,0,"Sunday   "
20110708,"2011-07-08",2011,3,7,"July     ",8,5,"Friday   "
20111017,"2011-10-17",2011,4,10,"October  ",17,1,"Monday   "
20110808,"2011-08-08",2011,3,8,"August   ",8,1,"Monday   "
20110811,"2011-08-11",2011,3,8,"August   ",11,4,"Thursday "
20111007,"2011-10-07",2011,4,10,"October  ",7,5,"Friday   "
20110707,"2011-07-07",2011,3,7,"July     ",7,4,"Thursday "
20110904,"2011-09-04",2011,3,9,"September",4,0,"Sunday   "
20110403,"2011-04-03",2011,2,4,"April    ",3,0,"Sunday   "
20110518,"2011-05-18",2011,2,5,"May      ",18,3,"Wednesday"
20110411,"2011-04-11",2011,2,4,"April    ",11,1,"Monday   "
20110828,"2011-08-28",2011,3,8,"August   ",28,0,"Sunday   "
20101212,"2010-12-12",2010,4,12,"December ",12,0,"Sunday   "
20111129,"2011-11-29",2011,4,11,"November ",29,2,"Tuesday  "
20101201,"2010-12-01",2010,4,12,"December ",1,3,"Wednesday"
20110928,"2011-09-28",2011,3,9,"September",28,3,"Wednesday"
20111116,"2011-11-16",2011,4,11,"November ",16,3,"Wednesday"
20111123,"2011-11-23",2011,4,11,"November ",23,3,"Wednesday"
20110515,"2011-05-15",2011,2,5,"May      ",15,0,"Sunday   "
20111011,"2011-10-11",2011,4,10,"October  ",11,2,"Tuesday  "
20101208,"2010-12-08",2010,4,12,"December ",8,3,"Wednesday"
20110307,"2011-03-07",2011,1,3,"March    ",7,1,"Monday   "
20110203,"2011-02-03",2011,1,2,"February ",3,4,"Thursday "
20110126,"2011-01-26",2011,1,1,"January  ",26,3,"Wednesday"
20101219,"2010-12-19",2010,4,12,"December ",19,0,"Sunday   "
20110130,"2011-01-30",2011,1,1,"January  ",30,0,"Sunday   "
20111113,"2011-11-13",2011,4,11,"November ",13,0,"Sunday   "
20110713,"2011-07-13",2011,3,7,"July     ",13,3,"Wednesday"
20111021,"2011-10-21",2011,4,10,"October  ",21,5,"Friday   "
20110919,"2011-09-19",2011,3,9,"September",19,1,"Monday   "
20110809,"2011-08-09",2011,3,8,"August   ",9,2,"Tuesday  "
20110209,"2011-02-09",2011,1,2,"February ",9,3,"Wednesday"
20110504,"2011-05-04",2011,2,5,"May      ",4,3,"Wednesday"
20110112,"2011-01-12",2011,1,1,"January  ",12,3,"Wednesday"
20110614,"2011-06-14",2011,2,6,"June     ",14,2,"Tuesday  "
20110214,"2011-02-14",2011,1,2,"February ",14,1,"Monday   "
20110405,"2011-04-05",2011,2,4,"April    ",5,2,"Tuesday  "
20110805,"2011-08-05",2011,3,8,"August   ",5,5,"Friday   "
20110717,"2011-07-17",2011,3,7,"July     ",17,0,"Sunday   "
20110819,"2011-08-19",2011,3,8,"August   ",19,5,"Friday   "
20110301,"2011-03-01",2011,1,3,"March    ",1,2,"Tuesday  "
20110601,"2011-06-01",2011,2,6,"June     ",1,3,"Wednesday"
20101202,"2010-12-02",2010,4,12,"December ",2,4,"Thursday "
20111127,"2011-11-27",2011,4,11,"November ",27,0,"Sunday   "
20111012,"2011-10-12",2011,4,10,"October  ",12,3,"Wednesday"
20110210,"2011-02-10",2011,1,2,"February ",10,4,"Thursday "
20110314,"2011-03-14",2011,1,3,"March    ",14,1,"Monday   "
20110114,"2011-01-14",2011,1,1,"January  ",14,5,"Friday   "
20110401,"2011-04-01",2011,2,4,"April    ",1,5,"Friday   "
20110421,"2011-04-21",2011,2,4,"April    ",21,4,"Thursday "
20110616,"2011-06-16",2011,2,6,"June     ",16,4,"Thursday "
20110118,"2011-01-18",2011,1,1,"January  ",18,2,"Tuesday  "
20110824,"2011-08-24",2011,3,8,"August   ",24,3,"Wednesday"
20111005,"2011-10-05",2011,4,10,"October  ",5,3,"Wednesday"
20110908,"2011-09-08",2011,3,9,"September",8,4,"Thursday "
20110629,"2011-06-29",2011,2,6,"June     ",29,3,"Wednesday"
20110426,"2011-04-26",2011,2,4,"April    ",26,2,"Tuesday  "
20110407,"2011-04-07",2011,2,4,"April    ",7,4,"Thursday "
20111101,"2011-11-01",2011,4,11,"November ",1,2,"Tuesday  "
20110124,"2011-01-24",2011,1,1,"January  ",24,1,"Monday   "
20110725,"2011-07-25",2011,3,7,"July     ",25,1,"Monday   "
20111110,"2011-11-10",2011,4,11,"November ",10,4,"Thursday "
20111106,"2011-11-06",2011,4,11,"November ",6,0,"Sunday   "
20110531,"2011-05-31",2011,2,5,"May      ",31,2,"Tuesday  "
20110412,"2011-04-12",2011,2,4,"April    ",12,2,"Tuesday  "
20110215,"2011-02-15",2011,1,2,"February ",15,2,"Tuesday  "
20110529,"2011-05-29",2011,2,5,"May      ",29,0,"Sunday   "
20110925,"2011-09-25",2011,3,9,"September",25,0,"Sunday   "
20101209,"2010-12-09",2010,4,12,"December ",9,4,"Thursday "
20110801,"2011-08-01",2011,3,8,"August   ",1,1,"Monday   "
20111014,"2011-10-14",2011,4,10,"October  ",14,5,"Friday   "
20101203,"2010-12-03",2010,4,12,"December ",3,5,"Friday   "
20110408,"2011-04-08",2011,2,4,"April    ",8,5,"Friday   "
20110310,"2011-03-10",2011,1,3,"March    ",10,4,"Thursday "
20110516,"2011-05-16",2011,2,5,"May      ",16,1,"Monday   "
20110527,"2011-05-27",2011,2,5,"May      ",27,5,"Friday   "
20110914,"2011-09-14",2011,3,9,"September",14,3,"Wednesday"
20110311,"2011-03-11",2011,1,3,"March    ",11,5,"Friday   "
20110206,"2011-02-06",2011,1,2,"February ",6,0,"Sunday   "
20110916,"2011-09-16",2011,3,9,"September",16,5,"Friday   "
20111205,"2011-12-05",2011,4,12,"December ",5,1,"Monday   "
20110225,"2011-02-25",2011,1,2,"February ",25,5,"Friday   "
20110522,"2011-05-22",2011,2,5,"May      ",22,0,"Sunday   "
20110428,"2011-04-28",2011,2,4,"April    ",28,4,"Thursday "
20110404,"2011-04-04",2011,2,4,"April    ",4,1,"Monday   "
20110814,"2011-08-14",2011,3,8,"August   ",14,0,"Sunday   "
20110727,"2011-07-27",2011,3,7,"July     ",27,3,"Wednesday"
20110324,"2011-03-24",2011,1,3,"March    ",24,4,"Thursday "
20110622,"2011-06-22",2011,2,6,"June     ",22,3,"Wednesday"
20110303,"2011-03-03",2011,1,3,"March    ",3,4,"Thursday "
20110807,"2011-08-07",2011,3,8,"August   ",7,0,"Sunday   "
20111004,"2011-10-04",2011,4,10,"October  ",4,2,"Tuesday  "
20110117,"2011-01-17",2011,1,1,"January  ",17,1,"Monday   "
20101222,"2010-12-22",2010,4,12,"December ",22,3,"Wednesday"
20110511,"2011-05-11",2011,2,5,"May      ",11,3,"Wednesday"
20110128,"2011-01-28",2011,1,1,"January  ",28,5,"Friday   "
20110328,"2011-03-28",2011,1,3,"March    ",28,1,"Monday   "
20110503,"2011-05-03",2011,2,5,"May      ",3,2,"Tuesday  "
20110302,"2011-03-02",2011,1,3,"March    ",2,3,"Wednesday"
20110902,"2011-09-02",2011,3,9,"September",2,5,"Friday   "
20110419,"2011-04-19",2011,2,4,"April    ",19,2,"Tuesday  "
20110612,"2011-06-12",2011,2,6,"June     ",12,0,"Sunday   "
20110208,"2011-02-08",2011,1,2,"February ",8,2,"Tuesday  "
20111125,"2011-11-25",2011,4,11,"November ",25,5,"Friday   "
20110705,"2011-07-05",2011,3,7,"July     ",5,2,"Tuesday  "
20101214,"2010-12-14",2010,4,12,"December ",14,2,"Tuesday  "
20110106,"2011-01-06",2011,1,1,"January  ",6,4,"Thursday "
20111018,"2011-10-18",2011,4,10,"October  ",18,2,"Tuesday  "
20110603,"2011-06-03",2011,2,6,"June     ",3,5,"Friday   "
20110325,"2011-03-25",2011,1,3,"March    ",25,5,"Friday   "
20111103,"2011-11-03",2011,4,11,"November ",3,4,"Thursday "
20110418,"2011-04-18",2011,2,4,"April    ",18,1,"Monday   "
20101210,"2010-12-10",2010,4,12,"December ",10,5,"Friday   "
20110508,"2011-05-08",2011,2,5,"May      ",8,0,"Sunday   "
20110602,"2011-06-02",2011,2,6,"June     ",2,4,"Thursday "
20110317,"2011-03-17",2011,1,3,"March    ",17,4,"Thursday "
20110501,"2011-05-01",2011,2,5,"May      ",1,0,"Sunday   "
20110929,"2011-09-29",2011,3,9,"September",29,4,"Thursday "
20110608,"2011-06-08",2011,2,6,"June     ",8,3,"Wednesday"
20110410,"2011-04-10",2011,2,4,"April    ",10,0,"Sunday   "
20110815,"2011-08-15",2011,3,8,"August   ",15,1,"Monday   "
20110309,"2011-03-09",2011,1,3,"March    ",9,3,"Wednesday"
20110125,"2011-01-25",2011,1,1,"January  ",25,2,"Tuesday  "
20111130,"2011-11-30",2011,4,11,"November ",30,3,"Wednesday"
20110724,"2011-07-24",2011,3,7,"July     ",24,0,"Sunday   "
20110728,"2011-07-28",2011,3,7,"July     ",28,4,"Thursday "
20110327,"2011-03-27",2011,1,3,"March    ",27,0,"Sunday   "
20110329,"2011-03-29",2011,1,3,"March    ",29,2,"Tuesday  "
20110617,"2011-06-17",2011,2,6,"June     ",17,5,"Friday   "
20111122,"2011-11-22",2011,4,11,"November ",22,2,"Tuesday  "
20110523,"2011-05-23",2011,2,5,"May      ",23,1,"Monday   "
20110615,"2011-06-15",2011,2,6,"June     ",15,3,"Wednesday"
20110116,"2011-01-16",2011,1,1,"January  ",16,0,"Sunday   "
20111107,"2011-11-07",2011,4,11,"November ",7,1,"Monday   "
20110104,"2011-01-04",2011,1,1,"January  ",4,2,"Tuesday  "
20110912,"2011-09-12",2011,3,9,"September",12,1,"Monday   "
20110123,"2011-01-23",2011,1,1,"January  ",23,0,"Sunday   "
20110323,"2011-03-23",2011,1,3,"March    ",23,3,"Wednesday"
20111025,"2011-10-25",2011,4,10,"October  ",25,2,"Tuesday  "
20110313,"2011-03-13",2011,1,3,"March    ",13,0,"Sunday   "
20110607,"2011-06-07",2011,2,6,"June     ",7,2,"Tuesday  "
20110921,"2011-09-21",2011,3,9,"September",21,3,"Wednesday"
20111016,"2011-10-16",2011,4,10,"October  ",16,0,"Sunday   "
20110223,"2011-02-23",2011,1,2,"February ",23,3,"Wednesday"
20110201,"2011-02-01",2011,1,2,"February ",1,2,"Tuesday  "
20110906,"2011-09-06",2011,3,9,"September",6,2,"Tuesday  "
20110927,"2011-09-27",2011,3,9,"September",27,2,"Tuesday  "
20110626,"2011-06-26",2011,2,6,"June     ",26,0,"Sunday   "
20110228,"2011-02-28",2011,1,2,"February ",28,1,"Monday   "
20110224,"2011-02-24",2011,1,2,"February ",24,4,"Thursday "
20110930,"2011-09-30",2011,3,9,"September",30,5,"Friday   "
20110517,"2011-05-17",2011,2,5,"May      ",17,2,"Tuesday  "
20110719,"2011-07-19",2011,3,7,"July     ",19,2,"Tuesday  "
20111019,"2011-10-19",2011,4,10,"October  ",19,3,"Wednesday"
20110718,"2011-07-18",2011,3,7,"July     ",18,1,"Monday   "
20110816,"2011-08-16",2011,3,8,"August   ",16,2,"Tuesday  "
20110729,"2011-07-29",2011,3,7,"July     ",29,5,"Friday   "
20110315,"2011-03-15",2011,1,3,"March    ",15,2,"Tuesday  "
20111027,"2011-10-27",2011,4,10,"October  ",27,4,"Thursday "
20110331,"2011-03-31",2011,1,3,"March    ",31,4,"Thursday "
20110506,"2011-05-06",2011,2,5,"May      ",6,5,"Friday   "
20110121,"2011-01-21",2011,1,1,"January  ",21,5,"Friday   "
20111030,"2011-10-30",2011,4,10,"October  ",30,0,"Sunday   "
20110907,"2011-09-07",2011,3,9,"September",7,3,"Wednesday"
20110613,"2011-06-13",2011,2,6,"June     ",13,1,"Monday   "
20110922,"2011-09-22",2011,3,9,"September",22,4,"Thursday "
20110818,"2011-08-18",2011,3,8,"August   ",18,4,"Thursday "
20110905,"2011-09-05",2011,3,9,"September",5,1,"Monday   "
20110731,"2011-07-31",2011,3,7,"July     ",31,0,"Sunday   "
20110505,"2011-05-05",2011,2,5,"May      ",5,4,"Thursday "
20110714,"2011-07-14",2011,3,7,"July     ",14,4,"Thursday "
20110131,"2011-01-31",2011,1,1,"January  ",31,1,"Monday   "
20111108,"2011-11-08",2011,4,11,"November ",8,2,"Tuesday  "
20110802,"2011-08-02",2011,3,8,"August   ",2,2,"Tuesday  "
20110715,"2011-07-15",2011,3,7,"July     ",15,5,"Friday   "
20110620,"2011-06-20",2011,2,6,"June     ",20,1,"Monday   "
20101205,"2010-12-05",2010,4,12,"December ",5,0,"Sunday   "
20110120,"2011-01-20",2011,1,1,"January  ",20,4,"Thursday "
20101220,"2010-12-20",2010,4,12,"December ",20,1,"Monday   "
20110216,"2011-02-16",2011,1,2,"February ",16,3,"Wednesday"
20111104,"2011-11-04",2011,4,11,"November ",4,5,"Friday   "
20110525,"2011-05-25",2011,2,5,"May      ",25,3,"Wednesday"
20111002,"2011-10-02",2011,4,10,"October  ",2,0,"Sunday   "
20110823,"2011-08-23",2011,3,8,"August   ",23,2,"Tuesday  "
20110222,"2011-02-22",2011,1,2,"February ",22,2,"Tuesday  "
20110803,"2011-08-03",2011,3,8,"August   ",3,3,"Wednesday"
20110610,"2011-06-10",2011,2,6,"June     ",10,5,"Friday   "
20111024,"2011-10-24",2011,4,10,"October  ",24,1,"Monday   "
20111121,"2011-11-21",2011,4,11,"November ",21,1,"Monday   "
20111003,"2011-10-03",2011,4,10,"October  ",3,1,"Monday   "
20111206,"2011-12-06",2011,4,12,"December ",6,2,"Tuesday  "
20101221,"2010-12-21",2010,4,12,"December ",21,2,"Tuesday  "
20110711,"2011-07-11",2011,3,7,"July     ",11,1,"Monday   "
20111201,"2011-12-01",2011,4,12,"December ",1,4,"Thursday "
20110211,"2011-02-11",2011,1,2,"February ",11,5,"Friday   "
20110512,"2011-05-12",2011,2,5,"May      ",12,4,"Thursday "
20110721,"2011-07-21",2011,3,7,"July     ",21,4,"Thursday "
20110414,"2011-04-14",2011,2,4,"April    ",14,4,"Thursday "
20110621,"2011-06-21",2011,2,6,"June     ",21,2,"Tuesday  "
20110321,"2011-03-21",2011,1,3,"March    ",21,1,"Monday   "
20110703,"2011-07-03",2011,3,7,"July     ",3,0,"Sunday   "
20110704,"2011-07-04",2011,3,7,"July     ",4,1,"Monday   "
20110909,"2011-09-09",2011,3,9,"September",9,5,"Friday   "
20111202,"2011-12-02",2011,4,12,"December ",2,5,"Friday   "
20110825,"2011-08-25",2011,3,8,"August   ",25,4,"Thursday "
20110420,"2011-04-20",2011,2,4,"April    ",20,3,"Wednesday"
20110127,"2011-01-27",2011,1,1,"January  ",27,4,"Thursday "
20110427,"2011-04-27",2011,2,4,"April    ",27,3,"Wednesday"
20110524,"2011-05-24",2011,2,5,"May      ",24,2,"Tuesday  "
20110630,"2011-06-30",2011,2,6,"June     ",30,4,"Thursday "
20110920,"2011-09-20",2011,3,9,"September",20,2,"Tuesday  "
20111111,"2011-11-11",2011,4,11,"November ",11,5,"Friday   "
20110726,"2011-07-26",2011,3,7,"July     ",26,2,"Tuesday  "
20110810,"2011-08-10",2011,3,8,"August   ",10,3,"Wednesday"
20111031,"2011-10-31",2011,4,10,"October  ",31,1,"Monday   "
20110826,"2011-08-26",2011,3,8,"August   ",26,5,"Friday   "
20110509,"2011-05-09",2011,2,5,"May      ",9,1,"Monday   "
20111023,"2011-10-23",2011,4,10,"October  ",23,0,"Sunday   "
20110415,"2011-04-15",2011,2,4,"April    ",15,5,"Friday   "
20111209,"2011-12-09",2011,4,12,"December ",9,5,"Friday   "
20110606,"2011-06-06",2011,2,6,"June     ",6,1,"Monday   "
20110605,"2011-06-05",2011,2,6,"June     ",5,0,"Sunday   "
20110706,"2011-07-06",2011,3,7,"July     ",6,3,"Wednesday"
20110520,"2011-05-20",2011,2,5,"May      ",20,5,"Friday   "
20101215,"2010-12-15",2010,4,12,"December ",15,3,"Wednesday"
20110406,"2011-04-06",2011,2,4,"April    ",6,3,"Wednesday"
20110109,"2011-01-09",2011,1,1,"January  ",9,0,"Sunday   "
20110926,"2011-09-26",2011,3,9,"September",26,1,"Monday   "
20110207,"2011-02-07",2011,1,2,"February ",7,1,"Monday   "
20101216,"2010-12-16",2010,4,12,"December ",16,4,"Thursday "
20111117,"2011-11-17",2011,4,11,"November ",17,4,"Thursday "
20110111,"2011-01-11",2011,1,1,"January  ",11,2,"Tuesday  "
20110220,"2011-02-20",2011,1,2,"February ",20,0,"Sunday   "
20111102,"2011-11-02",2011,4,11,"November ",2,3,"Wednesday"
20110316,"2011-03-16",2011,1,3,"March    ",16,3,"Wednesday"
20110720,"2011-07-20",2011,3,7,"July     ",20,3,"Wednesday"
20110712,"2011-07-12",2011,3,7,"July     ",12,2,"Tuesday  "
20110306,"2011-03-06",2011,1,3,"March    ",6,0,"Sunday   "
20110304,"2011-03-04",2011,1,3,"March    ",4,5,"Friday   "
20111120,"2011-11-20",2011,4,11,"November ",20,0,"Sunday   "
20101207,"2010-12-07",2010,4,12,"December ",7,2,"Tuesday  "
20110830,"2011-08-30",2011,3,8,"August   ",30,2,"Tuesday  "
20110812,"2011-08-12",2011,3,8,"August   ",12,5,"Friday   "
20110105,"2011-01-05",2011,1,1,"January  ",5,3,"Wednesday"
20110322,"2011-03-22",2011,1,3,"March    ",22,2,"Tuesday  "
20110701,"2011-07-01",2011,3,7,"July     ",1,5,"Friday   "
20111124,"2011-11-24",2011,4,11,"November ",24,4,"Thursday "
